AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	env_biome	env_feature	env_material	estimated_size	geo_loc_name	isol_growth_condt	isolate	lat_lon	num_replicons	ploidy	propagation	strain	Assay_Type	Consent	DATASTORE_filetype	LibrarySelection	LibrarySource	Organism
assembly	198	PRJNA174849	SAMN01164108		IMPERIAL COLLEGE	ncbi		SRX209771	275	Illumina HiSeq 2000	PAIRED		2012-12-18	2814	1398	ILLUMINA	2013-08-30	SRR630564	SRS379485	SRP017502	SP10 (IT)	2010					Sardinia, Scuponi								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164101		IMPERIAL COLLEGE	ncbi		SRX209764	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1851	1019	ILLUMINA	2013-08-30	SRR630566	SRS379478	SRP017502	RC5.1 (FR)	2010					France: loire et Cher								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164102		IMPERIAL COLLEGE	ncbi		SRX209765	275	Illumina HiSeq 2000	PAIRED		2012-12-18	2766	1415	ILLUMINA	2013-08-30	SRR630571	SRS379479	SRP017502	MAD (FR)	2010					France: Madamette								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164112		IMPERIAL COLLEGE	ncbi		SRX209775	275	Illumina HiSeq 2000	PAIRED		2012-12-18	2848	1336	ILLUMINA	2013-08-30	SRR630586	SRS379489	SRP017502	MG4 (ZA)	2010					South Africa: SilverMine, KZN								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164107		IMPERIAL COLLEGE	ncbi		SRX209770	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3477	1658	ILLUMINA	2013-08-30	SRR630592	SRS379484	SRP017502	MODS28 (IT)	2010					Sardinia, Monte Olia								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164103		IMPERIAL COLLEGE	ncbi		SRX209766	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3264	1667	ILLUMINA	2013-08-30	SRR630604	SRS379480	SRP017502	TF5a1 (ES)	2007					Mallorca, Torrent des Ferrerets								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164110		IMPERIAL COLLEGE	ncbi		SRX209773	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3229	1547	ILLUMINA	2013-08-30	SRR630607	SRS379487	SRP017502	SA1d (ZA)	2011					South Africa: Pinetown Kwazulu								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164098		IMPERIAL COLLEGE	ncbi		SRX209761	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1496	804	ILLUMINA	2013-08-30	SRR630610	SRS379475	SRP017502	ETH2 (ET)	2011					Ethiopia: Hotcho								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164100		IMPERIAL COLLEGE	ncbi		SRX209763	275	Illumina HiSeq 2000	PAIRED		2012-12-18	4253	2003	ILLUMINA	2013-08-30	SRR630615	SRS379477	SRP017502	AUL (FR)	2010					France: Lac d'Aule								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164109		IMPERIAL COLLEGE	ncbi		SRX209772	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1774	999	ILLUMINA	2013-08-30	SRR630616	SRS379486	SRP017502	MG1 (ZA)	2010					South Africa: Mount, KZN								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
BD_JEL423	496	PRJNA395742	SAMN07414232	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX3413756	0	Illumina MiSeq	PAIRED	JEL413	2017-11-30	2240	1048	ILLUMINA	2017-11-30	SRR6313817	SRS2706941	SRP125414	JEL413	2004					Panama: El Cope		JEL413					Bd-GPL	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
BD_JEL423	504	PRJNA395742	SAMN07414230	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX3413755	0	Illumina MiSeq	PAIRED	JEL412	2017-11-30	1741	897	ILLUMINA	2017-11-30	SRR6313818	SRS2706944	SRP125414	JEL412	2004					Panama: El Cope		JEL412					Bd-GPL	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
BD_JEL423	506	PRJNA395742	SAMN07414227	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX3413754	0	Illumina MiSeq	PAIRED	JEL410	2017-11-30	1467	802	ILLUMINA	2017-11-30	SRR6313819	SRS2706940	SRP125414	JEL410	2004					Panama: El Cope		JEL410					Bd-GPL	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
BD_JEL423	501	PRJNA395742	SAMN07414181	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX3413753	0	Illumina MiSeq	PAIRED	Campana	2017-11-30	925	404	ILLUMINA	2017-11-30	SRR6313820	SRS2706943	SRP125414	Campana	2012					Panama: Campana		Campana					Bd-GPL	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
BD_JEL423	500	PRJNA395742	SAMN07414179	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX3413752	0	Illumina MiSeq	PAIRED	RioMaria	2017-11-30	1600	847	ILLUMINA	2017-11-30	SRR6313821	SRS2706939	SRP125414	RioMaria	2012					Panama: Rio Maria		RioMaria					Bd-GPL	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
BD_JEL423	497	PRJNA395742	SAMN07414178	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX3413751	0	Illumina MiSeq	PAIRED	Sora	2017-11-30	1339	695	ILLUMINA	2017-11-30	SRR6313822	SRS2706938	SRP125414	Sora	2012					Panama: Sora		Sora					Bd-GPL	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830971	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX209951	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	813	351	ILLUMINA	2015-07-22	SRR632144	SRS379626	SRP017570	CJB4	2009				23403618			CJB4			diploid	asexual	CJB4	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164117		IMPERIAL COLLEGE	ncbi		SRX209757	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3138	1570	ILLUMINA	2013-08-30	SRR633640	SRS379471	SRP017502	BEW2 (CH)	2010					Switzerland: Waltisberg								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164105		IMPERIAL COLLEGE	ncbi		SRX209768	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3907	1852	ILLUMINA	2013-08-30	SRR633648	SRS379482	SRP017502	AP15 (IT)	2010					Sardinia, Affluente Pisharoni								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164115		IMPERIAL COLLEGE	ncbi		SRX209778	275	Illumina HiSeq 2000	PAIRED		2012-12-18	2503	1280	ILLUMINA	2013-08-30	SRR633660	SRS379493	SRP017502	CON2A (CH)	2007					Switzerland: Gamlikon								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164111		IMPERIAL COLLEGE	ncbi		SRX209774	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3919	1872	ILLUMINA	2013-08-30	SRR634028	SRS379488	SRP017502	SA4c (ZA)	2010					South Africa: Pinetown Kwazulu								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164097		IMPERIAL COLLEGE	ncbi		SRX209759	275	Illumina HiSeq 2000	PAIRED		2012-12-19	2504	1230	ILLUMINA	2013-08-30	SRR634029	SRS379473	SRP017502	SFBC014 (GB)	2010					England, Cumbria								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830972	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210877	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	745	301	ILLUMINA	2015-07-22	SRR634692	SRS380064	SRP017570	CJB5-2	2009				23403618			CJB5			diploid	asexual	CJB5-2	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830973	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210879	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	859	335	ILLUMINA	2015-07-22	SRR634693	SRS380066	SRP017570	CJB7	2009				23403618			CJB7			diploid	asexual	CJB7	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830974	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210898	0	Illumina HiSeq 2000	SINGLE		2012-12-17	3912	2549	ILLUMINA	2013-04-02	SRR634780	SRS380071	SRP017570	CLFT021	2011				23403618			CLFT021			diploid	asexual	CLFT021	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830975	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210911	0	Illumina HiSeq 2000	SINGLE		2012-12-17	2600	1547	ILLUMINA	2013-04-02	SRR634821	SRS380073	SRP017570	CLFT023	2011				23403618			CLFT023			diploid	asexual	CLFT023	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830976	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210923	0	Illumina HiSeq 2000	SINGLE		2012-12-17	4464	2818	ILLUMINA	2013-04-02	SRR634844	SRS380076	SRP017570	CLFT024	2011				23403618			CLFT024			diploid	asexual	CLFT024	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	100	PRJNA183867	SAMN01830977	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210955	0	Illumina HiSeq 2000	SINGLE		2012-12-17	23481	15446	ILLUMINA	2013-04-02	SRR634964	SRS380083	SRP017570	CLFT024-02	2011				23403618			CLFT024-02			diploid	asexual	CLFT024-02	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830978	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210981	0	Illumina HiSeq 2000	SINGLE		2012-12-17	4297	2760	ILLUMINA	2013-04-02	SRR634966	SRS380092	SRP017570	CLFT026	2011				23403618			CLFT026			diploid	asexual	CLFT026	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830979	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210985	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	1631	1163	ILLUMINA	2015-07-22	SRR634967	SRS380095	SRP017570	EV001	2010				23403618			EV001			diploid	asexual	EV001	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830980	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210987	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	1104	824	ILLUMINA	2015-07-22	SRR634975	SRS380097	SRP017570	JEL238	1999				23403618			JEL238			diploid	asexual	JEL238	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830981	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210994	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	2108	1395	ILLUMINA	2015-07-22	SRR634976	SRS380104	SRP017570	JEL267	1999				23403618			JEL267			diploid	asexual	JEL267	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830982	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210995	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	2041	1423	ILLUMINA	2015-07-22	SRR634977	SRS380105	SRP017570	JEL271	1999				23403618			JEL271			diploid	asexual	JEL271	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830983	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210996	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-24	3148	2174	ILLUMINA	2015-07-22	SRR634978	SRS380106	SRP017570	JEL275	1999				23403618			JEL275			diploid	asexual	JEL275	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830984	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210997	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	902	369	ILLUMINA	2015-07-22	SRR634979	SRS380107	SRP017570	JEL289	2000				23403618			JEL289			diploid	asexual	JEL289	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830985	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210998	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	941	656	ILLUMINA	2015-07-22	SRR634981	SRS380108	SRP017570	JEL310	2005				23403618			JEL310			diploid	asexual	JEL310	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830986	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX210999	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	698	485	ILLUMINA	2015-07-22	SRR634983	SRS380109	SRP017570	JEL359	2002				23403618			JEL359			diploid	asexual	JEL359	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830987	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211000	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	2225	1649	ILLUMINA	2015-07-22	SRR635020	SRS380110	SRP017570	JEL408	2004				23403618			JEL408			diploid	asexual	JEL408	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830988	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211002	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	878	600	ILLUMINA	2015-07-22	SRR635068	SRS380111	SRP017570	JEL427	2004				23403618			JEL427			diploid	asexual	JEL427	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830989	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211005	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	168	118	ILLUMINA	2015-07-22	SRR635197	SRS380113	SRP017570	JEL429	2005				23403618			JEL429			diploid	asexual	JEL429	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830990	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211006	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	2271	1617	ILLUMINA	2015-07-22	SRR635198	SRS380114	SRP017570	JEL433	2005				23403618			JEL433			diploid	asexual	JEL433	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830991	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211007	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	734	294	ILLUMINA	2015-07-22	SRR635199	SRS380115	SRP017570	JEL627	2009				23403618			JEL627			diploid	asexual	JEL627	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830992	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	sra-sos	sra-sos.public	SRX211008	0	Illumina Genome Analyzer IIx	SINGLE		2015-09-10	1660	1185	ILLUMINA	2015-07-22	SRR635200	SRS380116	SRP017570	LBAbercrom	2009				23403618			LBAbercrom			diploid	asexual	LBAbercrom	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	200	PRJNA174849	SAMN01164114		IMPERIAL COLLEGE	ncbi		SRX209777	275	Illumina HiSeq 2000	PAIRED		2015-11-23	2422	1099	ILLUMINA	2015-07-22	SRR635240	SRS379491	SRP017502	APEP (CH)	2008					Switzerland: Gamlikon								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830989	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	sra-sos	sra-sos.public	SRX211005	0	Illumina Genome Analyzer IIx	SINGLE		2015-09-10	1978	1298	ILLUMINA	2015-07-22	SRR635201	SRS380113	SRP017570	JEL429	2005				23403618			JEL429			diploid	asexual	JEL429	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	86	PRJNA183867	SAMN01830993	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	sra-sos	sra-sos.public	SRX211009	0	Illumina HiSeq 2000	SINGLE		2015-09-10	2323	1256	ILLUMINA	2015-07-22	SRR635202	SRS380117	SRP017570	LFT001_10	2010				23403618			LFT001_10			diploid	asexual	CLFT001/10	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	55	PRJNA183867	SAMN01830993	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211009	0	Illumina HiSeq 2000	SINGLE		2015-11-23	605	379	ILLUMINA	2015-07-22	SRR635203	SRS380117	SRP017570	LFT001_10	2010				23403618			LFT001_10			diploid	asexual	CLFT001/10	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830994	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211010	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	1490	1001	ILLUMINA	2015-07-22	SRR635204	SRS380118	SRP017570	MexMkt	2009				23403618			MexMkt			diploid	asexual	MexMkt	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830995	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211011	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	2428	1741	ILLUMINA	2015-07-22	SRR635205	SRS380119	SRP017570	MLA1	2009				23403618			MLA1			diploid	asexual	MLA1	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830996	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211012	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	975	674	ILLUMINA	2015-07-22	SRR635206	SRS380120	SRP017570	NBRC106979	2007				23403618			NBRC_106979			diploid	asexual	NBRC106979	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830997	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211013	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	886	370	ILLUMINA	2015-07-22	SRR635207	SRS380121	SRP017570	SRS812	2006				23403618			SRS812			diploid	asexual	SRS812	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	43	PRJNA183867	SAMN01830998	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211014	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	785	309	ILLUMINA	2015-07-22	SRR635208	SRS380122	SRP017570	TST75	2007				23403618			TST75			diploid	asexual	TST75	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830999	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211015	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	171	121	ILLUMINA	2015-07-22	SRR635209	SRS380123	SRP017570	UM142	2009				23403618			UM142			diploid	asexual	UM142	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	50	PRJNA183867	SAMN01830999	MIGS.eu	UNIVERSITY OF CALIFORNIA, RIVERSIDE	ncbi		SRX211015	0	Illumina Genome Analyzer IIx	SINGLE		2015-11-23	1970	1299	ILLUMINA	2015-07-22	SRR635210	SRS380123	SRP017570	UM142	2009				23403618			UM142			diploid	asexual	UM142	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
