SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Percent_reads_mapped	Mapped_reads	Average_Coverage
Acherito.4.1_15	1242	19659842	1000	486370	3996	15829.18	114	46508	492	7648	93.4	92.4	92.4	92.4	1.4	5.2	290	17601102	89.7825%	15807177	100.5
Acherito.5.2_15	1271	19666370	1000	486370	4110	15473.15	120	40964	513	7114	93.1	92.1	92.1	92.1	2.4	4.5	290	14877776	90.1761%	13431960	85.4
Acherito.c_15	1253	19661808	1000	484713	3923	15691.79	117	44293	494	7427	94.1	93.1	93.1	93.1	1.7	4.2	290	17750620	84.1556%	14983235	95.3
Acherito.d_15	1337	19622082	1000	286556	4280	14676.20	131	38400	557	6740	94.1	93.1	93.1	93.1	1.4	4.5	290	18459682	91.4807%	16885507	107.6
Ansabere.6.1_15	1353	19635404	980	276036	4143	14512.49	134	37051	569	6624	93.1	92.1	92.1	92.1	2.1	4.8	290	18137224	90.9664%	16383702	104.3
AoCH15_B	1429	19647810	1000	259485	4143	13749.34	147	35650	608	6014	93.1	92.1	92.1	92.1	1.7	5.2	290	22805036	90.7352%	20771432	132.1
Arlet.K_15	1169	19690218	1000	275853	3979	16843.64	107	49003	448	8385	94.4	93.4	93.4	93.4	1.7	3.9	290	18219258	90.0431%	16406466	104.2
Arlet.a_15	1201	19675960	1000	485099	3979	16382.98	107	47160	465	7870	93.8	92.8	92.8	92.8	1.7	4.5	290	14905464	88.3690%	13131178	83.4
Arlet_13No1	1256	19372610	1000	275829	4493	15424.05	128	39780	519	7745	93.4	92.4	92.4	92.4	1.4	5.2	290	34460652	86.0086%	29521023	152.4
Arlet_13No2	1281	19384889	1000	275829	4603	15132.62	129	39375	536	7337	93.8	92.8	92.8	92.8	1.4	4.8	290	45413400	88.9318%	40509606	209.0
Arlet_13No4	1311	19362345	1000	275829	3886	14769.14	129	41570	528	7642	93.8	92.8	92.8	92.8	1.7	4.5	290	58376700	84.9619%	50006225	258.3
Arlet_13No6	1360	19407527	1000	275837	3777	14270.24	137	39121	549	6854	93.8	92.8	92.8	92.8	1.7	4.5	290	67260608	84.8745%	57497860	296.3
Arlet_13No8	1275	19369434	1000	287594	4834	15191.71	132	37917	545	7239	93.4	92.4	92.4	92.4	1.7	4.9	290	38990748	89.3831%	35021641	180.8
BAV_BRUCH_1	1089	19503213	1000	275793	3879	17909.29	93	57676	399	9517	93.8	92.8	92.8	92.8	1.4	4.8	290	61610956	86.5607%	53959496	276.7
BAV_OBER_1	1255	19382318	1000	276012	4388	15444.08	118	43236	511	7261	93.4	92.4	92.4	92.4	1.7	4.9	290	56934864	89.5339%	50539623	260.8
BAV_OBER_2	1361	19364518	1000	276012	4221	14228.15	136	36912	572	6727	93.4	92.4	92.4	92.4	1.7	4.9	290	37409168	91.0165%	33777166	174.4
BAV_OBER_3	1299	19393367	1000	276012	4139	14929.46	117	39837	529	7268	93.8	92.8	92.8	92.8	1.7	4.5	290	41723548	89.4500%	37511770	193.4
BEW2_(CH)	1508	19311151	1000	201253	4416	12805.80	168	31403	675	5669	92.7	91.7	91.7	91.7	2.1	5.2	290	33244714	85.8099%	28590102	146.6
BLI1_(CH)	1391	19306059	1000	246498	4304	13879.27	155	35234	593	6855	93.8	92.8	92.8	92.8	2.1	4.1	290	12134704	85.5062%	10407024	53.4
BR1_(CH)	1004	19433788	901	308274	4584	19356.36	98	55966	385	11463	93.8	92.8	92.8	92.8	1.4	4.8	290	25008834	83.3263%	20912822	107.6
BdBE1	1392	19616472	1000	262377	4378	14092.29	147	33363	595	6435	93.4	92.4	92.4	92.4	2.1	4.5	290	21014602	90.1093%	18940913	120.7
BdBE2	1419	19651049	1000	245862	4024	13848.52	140	35655	603	5989	94.1	93.1	93.1	93.1	1.4	4.5	290	18442348	92.5712%	16996572	108.1
BdBE3	1306	19651377	1000	261235	3392	15047.00	115	44289	495	6930	92.7	91.7	91.7	91.7	2.1	5.2	290	20434064	89.6117%	18317034	116.5
BdBE4	1397	19621181	1000	245981	4475	14045.23	152	34521	605	6232	93.8	92.8	92.8	92.8	1.7	4.5	290	9375478	90.8601%	8524233	54.3
BdBE5	1152	19771448	995	279892	3888	17162.72	96	55831	426	8282	93.4	92.4	92.4	92.4	2.1	4.5	290	9652394	93.1406%	8984025	56.8
BdBE6	1184	19755243	849	276036	4230	16685.17	103	50754	457	7664	93.5	92.1	92.1	92.1	2.1	4.4	290	10183444	92.3272%	9408533	59.5
BdNL1	1306	19607783	1000	305989	3979	15013.62	117	41230	519	6720	93.4	92.4	92.4	92.4	1.7	4.9	290	9776208	89.8637%	8791326	56.0
Bd_Aus1	1239	19421992	1000	275846	4457	15675.54	120	43255	505	7797	93.4	92.4	92.4	92.4	1.7	4.9	290	15526042	89.4053%	13922009	71.7
Bd_Aus2	1373	19567666	1000	275846	3979	14251.76	127	38996	563	6381	93.4	92.4	92.4	92.4	1.7	4.9	290	21065306	72.9435%	15443411	78.9
Bd_Aus3	1186	19433731	1000	259579	4105	16385.95	104	49943	453	7787	93.4	92.4	92.4	92.4	1.7	4.9	290	9487112	86.0359%	8142018	41.9
Bd_Aus4	1254	19416636	1000	276012	4336	15483.76	120	42191	509	7745	93.8	92.8	92.8	92.8	1.7	4.5	290	12371706	88.3941%	10970732	56.5
Bd_Aus5	1126	19447702	1000	275846	3921	17271.49	100	55878	424	9274	93.8	92.8	92.8	92.8	1.7	4.5	290	12787182	87.5803%	11151714	57.3
Bd_Aus6	1289	19420739	1000	276012	4226	15066.52	127	39485	525	7647	93.4	92.4	92.4	92.4	1.7	4.9	290	13898172	90.2057%	12573559	64.7
Bd_Aus8	1220	19358740	1000	275846	4336	15867.82	112	45165	489	7900	93.8	92.8	92.8	92.8	2.1	4.1	290	12037384	88.2090%	10578952	54.6
Bd_Aus9	1275	19389630	1000	276012	4207	15207.55	124	39780	517	7642	93.4	92.4	92.4	92.4	1.7	4.9	290	21235796	88.5347%	18863278	97.3
Bd_JEL253	1080	19467131	1000	275846	3886	18025.12	94	58468	394	10185	93.4	92.4	92.4	92.4	1.7	4.9	290	15712900	87.7867%	13834332	71.1
Bd_RTP5	1219	19481464	1000	275846	4542	15981.51	116	44775	495	8145	93.8	92.8	92.8	92.8	1.7	4.5	290	22048954	91.5572%	20221166	103.8
CCB1	1070	19737497	1000	343793	3431	18446.26	85	57696	366	10364	93.4	92.4	92.4	92.4	2.4	4.2	290	16722156	92.7543%	15510469	98.2
CCB15	1239	19674965	998	333713	3668	15879.71	97	49091	465	7553	93.1	92.1	92.1	92.1	2.8	4.1	290	16932644	92.0165%	15581984	99.0
CH4_(CH)	1197	19424799	1000	308667	5361	16227.90	129	39111	512	8159	93.8	92.8	92.8	92.8	2.1	4.1	290	24300000	85.2714%	20756139	106.9
CHAL3_(CH)	1230	19412104	1000	275846	4512	15782.20	122	41626	504	7680	93.8	92.8	92.8	92.8	2.1	4.1	290	24900000	87.3505%	21785344	112.2
CLFT001	1159	19714579	982	284837	3937	17009.99	98	55873	431	8980	94.1	93.1	93.1	93.1	2.4	3.5	290	15345004	91.3201%	14050216	89.1
CLFT061	1380	19570230	1000	271112	3764	14181.33	137	39307	563	6421	93.8	92.8	92.8	92.8	2.4	3.8	290	9990720	88.3034%	8856238	57.0
CLFT065	1587	19747014	1000	275782	3656	12442.98	164	33359	678	5177	92.0	91.0	91.0	91.0	3.8	4.2	290	25126022	78.6531%	19767898	126.1
CLFT067	1593	19743124	1000	275782	3733	12393.67	169	33340	686	5638	92.0	91.0	91.0	91.0	3.8	4.2	290	21672720	75.7303%	16416485	104.8
CLFT071	1554	19764309	1000	186682	3499	12718.35	159	34704	651	5696	92.4	91.4	91.4	91.4	3.4	4.2	290	15834434	74.9674%	11868258	75.7
CLFT136	1379	19627694	1000	265414	3888	14233.28	138	39191	564	6468	93.1	92.1	92.1	92.1	2.1	4.8	290	14291566	90.5007%	12929905	83.0
CLFT144	4881	20484350	616	57558	2640	4196.75	905	6311	3357	1792	73.1	63.4	63.4	63.4	16.2	10.7	290	13521426	65.7378%	8891057	54.7
CM21	1459	19605835	1000	264525	4013	13437.86	147	34445	626	5979	93.1	92.1	92.1	92.1	1.7	5.2	290	20739564	92.0528%	19098592	121.8
CM22	1410	19629377	1000	262151	4212	13921.54	153	34225	600	6540	93.1	92.1	92.1	92.1	2.1	4.8	290	20489164	89.4162%	18453922	117.5
CMT3	1304	19696166	1000	261221	3914	15104.42	124	40909	521	7042	93.1	92.1	92.1	92.1	2.1	4.8	290	13481680	89.2143%	12009301	76.2
CMT5	1270	19695610	1000	286568	3909	15508.35	123	42128	501	7664	93.8	92.8	92.8	92.8	1.4	4.8	290	19197840	89.8426%	17278066	109.7
CON2A_(CH)	1496	19194728	1000	174367	4418	12830.70	166	32473	666	6039	92.7	91.7	91.7	91.7	2.4	4.9	290	26515910	85.7373%	22742518	117.3
CORN1	1079	19446842	1000	286459	4771	18023.02	109	47871	433	10410	93.8	92.8	92.8	92.8	1.7	4.5	290	28716012	86.1064%	24727306	127.2
CORN1B	1229	19402060	1000	308006	5078	15786.87	127	39115	522	7430	94.1	93.1	93.1	93.1	1.4	4.5	290	25224928	89.2123%	22506633	116.0
Campana	1381	20749906	1000	418791	3152	15025.28	96	53682	490	6138	92.4	91.0	91.0	91.0	2.4	5.2	290	3869994	94.5221%	3662855	44.3
Carter_Meadow	247	3257886	1025	102089	7159	13189.82	37	25217	143	5724	0.0	0.0	0.0	0.0	0.0	100.0	290	4273178	61.7600%	2854464	226.9
DB8-4	1118	19715625	995	275870	3457	17634.73	87	59011	388	9336	93.4	92.4	92.4	92.4	2.1	4.5	290	9508950	90.8607%	8629736	54.7
DB8.2	1097	19712207	1000	344080	3415	17969.20	86	60371	374	9660	93.8	92.8	92.8	92.8	2.4	3.8	290	10232630	91.1054%	9330467	59.2
ETH2_(ET)	1455	19166823	1000	201305	4495	13173.07	162	32601	644	5975	93.8	92.8	92.8	92.8	1.4	4.8	290	15847720	83.5869%	13444100	69.4
ETH4_(ET)	1472	19279455	1000	275837	4637	13097.46	165	32164	655	6162	93.1	92.1	92.1	92.1	2.1	4.8	290	38185876	82.4671%	31543694	162.0
FG184	1262	19763747	826	275870	3907	15660.66	108	48665	493	7015	94.8	93.8	93.8	93.8	1.4	3.8	290	16719528	91.9742%	15182492	96.0
FG32	1315	19706245	1000	276036	3719	14985.74	110	45514	515	6834	93.4	92.4	92.4	92.4	2.1	4.5	290	29332528	92.1620%	26784304	169.9
HER3_(CH)	1067	19428720	547	308271	4760	18208.73	104	53901	418	10200	93.4	92.4	92.4	92.4	1.7	4.9	290	24800000	82.8963%	20592326	106.0
HR1	1215	19662936	993	342993	3645	16183.49	95	53376	445	7840	93.1	92.1	92.1	92.1	2.1	4.8	290	18529094	90.8148%	16974294	107.9
HR5	1144	19671970	1000	275886	3836	17195.78	95	53639	417	8643	93.4	92.4	92.4	92.4	2.1	4.5	290	23278620	90.9857%	21029293	133.6
HYATT	1298	19663551	992	276036	3705	15149.11	106	45722	500	6692	93.1	91.7	91.7	91.7	2.1	4.8	290	13892858	91.5703%	12750718	81.1
Hung_2014	1348	19697993	1000	261670	3832	14612.75	132	39100	545	6619	92.7	91.7	91.7	91.7	2.8	4.5	290	29523088	89.4819%	26692706	169.4
Hung_2039	1349	19666314	1000	286587	3917	14578.44	135	37968	555	6748	93.4	92.4	92.4	92.4	1.4	5.2	290	28060274	90.4307%	25155882	159.9
Hung_2044	1261	19720570	1000	286389	3861	15638.83	119	44260	495	7870	93.1	92.1	92.1	92.1	2.4	4.5	290	23205140	90.5370%	20851154	132.2
IA042_Highly_passaged	1315	19363529	1000	275829	4457	14725.12	132	39094	553	7019	93.4	92.4	92.4	92.4	2.1	4.5	290	51134774	85.5655%	44014926	227.3
IA042_Low_passage	1281	19377847	1000	276012	4104	15127.12	130	39661	524	7805	93.8	92.8	92.8	92.8	1.7	4.5	290	42124262	86.1278%	36457074	188.1
IA043_cryo	1280	19317699	1000	275829	4008	15091.95	129	40004	523	7766	93.8	92.8	92.8	92.8	1.7	4.5	290	57221598	82.9553%	47169152	244.2
IA12	1155	19391823	1000	286211	5056	16789.46	118	45961	476	8873	94.4	93.4	93.4	93.4	1.4	4.2	290	29843612	87.6299%	26159974	134.9
IA_11	1314	19380347	1000	275829	4665	14749.12	130	39323	560	7042	93.8	92.8	92.8	92.8	1.4	4.8	290	34704080	88.8118%	30946496	159.7
IA_12No1	1369	19379407	1000	275829	4662	14155.89	143	36595	592	6537	93.4	92.4	92.4	92.4	1.7	4.9	290	39527006	86.2767%	34205456	176.5
IA_12No10	1263	19412933	984	275829	4585	15370.49	128	42002	523	7685	93.4	92.4	92.4	92.4	2.1	4.5	290	38814278	84.3862%	32576090	167.8
IA_12No12	1248	19414173	1000	275829	4470	15556.23	125	42487	507	7745	93.5	92.1	92.1	92.1	1.7	4.8	290	54971114	87.9122%	47774255	246.1
IA_12No3	1255	19411750	1000	275829	4400	15467.53	126	40405	514	7642	93.8	92.8	92.8	92.8	1.7	4.5	290	38083312	86.1717%	32513821	167.5
IA_12No4	1315	19387809	1000	276012	4537	14743.58	136	38580	556	6902	93.8	92.8	92.8	92.8	1.4	4.8	290	48583754	87.5061%	42643681	220.0
IA_12No5	1307	19372595	1000	276012	4474	14822.18	130	39112	549	7071	93.4	92.4	92.4	92.4	2.1	4.5	290	46069814	87.7107%	40022474	206.6
IA_12No8	1331	19373893	1000	276012	4526	14555.89	133	37035	566	6765	93.4	92.4	92.4	92.4	2.1	4.5	290	45211832	86.1392%	39310941	202.9
IA_12No9	1244	19398003	979	276012	4577	15593.25	123	40940	512	7745	93.8	92.8	92.8	92.8	1.7	4.5	290	60271742	87.4155%	52181531	269.0
IA_13No1	1207	19395503	996	276012	4815	16069.18	122	40947	501	8244	93.8	92.8	92.8	92.8	1.4	4.8	290	34444016	89.2076%	30514642	157.3
IA_13No12	1191	19378380	1000	275829	4403	16270.68	117	46366	478	8547	93.1	91.7	91.7	91.7	1.7	5.2	290	70102452	82.1753%	58024015	299.4
IA_13No13_48	1253	19379377	1000	276012	4683	15466.38	126	40320	520	7746	93.8	92.8	92.8	92.8	1.4	4.8	290	36817588	87.3438%	31954809	164.9
IA_13No13_60	1322	19364708	1000	275829	4129	14648.04	135	39063	547	7045	93.1	92.1	92.1	92.1	1.7	5.2	290	46966580	86.7082%	40797326	210.7
IA_13No17	1174	19394911	1000	275829	4306	16520.37	112	48812	463	8998	94.1	93.1	93.1	93.1	1.4	4.5	290	49690366	89.6383%	44435797	229.1
IA_13No6	1340	19372531	993	276012	4692	14457.11	145	36023	579	6825	93.1	92.1	92.1	92.1	1.7	5.2	290	36982374	89.2066%	33097005	170.8
IA_13No8	1292	19360728	944	276012	4527	14985.08	132	39244	542	7282	93.4	92.4	92.4	92.4	1.7	4.9	290	35007578	85.5609%	29886635	154.4
JEL240	1373	19635873	1000	275870	4479	14301.44	142	35706	590	6464	93.1	91.7	91.7	91.7	2.4	4.5	290	14196934	91.6127%	12969000	82.6
JEL261	1335	19353478	1000	275941	4451	14496.99	140	36284	563	7117	94.4	93.4	93.4	93.4	1.4	4.2	290	54105134	88.2403%	48078643	248.4
JEL270	1111	19463124	1000	275776	3778	17518.56	95	57748	401	9546	94.1	93.1	93.1	93.1	1.4	4.5	290	43480692	88.8727%	38852461	199.6
JEL274	1147	19473775	1000	275846	3681	16978.01	97	55831	418	9192	93.8	92.8	92.8	92.8	1.7	4.5	290	43317342	90.9837%	38781365	199.1
JEL410	1361	20671215	938	285070	3176	15188.25	100	55831	480	6240	94.8	93.4	93.4	93.4	1.7	3.5	290	6074338	91.6261%	5598232	68.8
JEL412	1402	20739612	794	418522	3074	14792.88	105	52870	498	6085	93.4	92.4	92.4	92.4	2.1	4.5	290	7234548	86.7213%	6363779	77.7
JEL413	1398	20802046	1003	458644	3278	14879.86	105	51023	520	6244	92.0	91.0	91.0	91.0	3.4	4.6	290	9473014	94.9105%	9018434	107.8
JEL423	1325	19378550	984	275846	4257	14625.32	121	39451	555	6676	94.1	93.1	93.1	93.1	1.4	4.5	290	48453474	88.0924%	42388131	218.7
JEL423_(PA)	1508	19369761	1000	191909	5183	12844.67	185	28850	697	6407	93.1	92.1	92.1	92.1	2.4	4.5	290	12263254	86.8149%	10707282	54.7
JEL427-P17	2113	20047061	753	92777	6140	9487.49	386	15599	1314	4299	84.8	84.1	84.1	84.1	5.5	9.7	290	4352024	71.9010%	3160310	40.8
JEL427-P39	1966	24140233	1000	1337463	3173	12278.86	154	35271	808	4585	91.7	91.0	91.0	91.0	2.4	5.9	290	4087076	91.0108%	3752473	40.3
JEL427-P9	3771	18687512	1003	30468	3626	4955.59	871	6610	2740	2379	61.7	61.7	61.7	61.7	19.3	19.0	290	3172790	68.4788%	2200813	30.5
KB108	1544	19659745	1000	217864	4102	12733.00	163	32570	688	5458	93.4	92.4	92.4	92.4	2.4	4.2	290	36089002	91.5084%	33279316	211.6
KB23	1672	19649516	1000	216862	4234	11752.10	191	28848	776	5051	92.7	91.7	91.7	91.7	2.8	4.5	290	26838806	90.9905%	24630508	156.7
KB347	1704	19478413	1003	252108	4561	11430.99	221	26052	815	5097	91.3	90.3	90.3	90.3	3.8	4.9	290	20953254	89.5767%	18929361	121.5
KB45	1562	19570705	1000	234967	4269	12529.26	173	30840	711	5402	93.4	92.4	92.4	92.4	2.8	3.8	290	20307468	90.2661%	18505843	118.2
KB72	1654	19580692	1000	216862	4081	11838.39	187	30065	758	5063	93.4	92.4	92.4	92.4	2.8	3.8	290	18577480	89.5030%	16825221	107.4
KBO_317	1568	19165273	1000	160202	4942	12222.75	204	28093	733	5969	92.0	91.0	91.0	91.0	3.8	4.2	290	55757242	83.3288%	46892089	244.7
KBO_319	1505	19257865	716	195128	4721	12795.92	180	30892	688	6049	92.4	91.4	91.4	91.4	2.8	4.8	290	44548154	88.9178%	39704148	206.2
KBO_327	1688	19088885	974	143477	5097	11308.58	229	24331	836	5252	92.0	91.0	91.0	91.0	3.1	4.9	290	52323664	85.7382%	45008312	235.8
KRBOOR_317	1693	19183866	1001	147267	4694	11331.29	227	25763	815	5257	92.0	91.0	91.0	91.0	3.4	4.6	290	39288936	86.6096%	34177312	178.2
KRBOOR_323	1199	19315316	1000	219590	4390	16109.52	119	44975	478	7966	92.4	91.4	91.4	91.4	2.8	4.8	290	48519402	88.3340%	43314230	224.2
